Prov;Loc;Spp_Anuro;Spp_Hongo
Azuay;Guangarcucho;Gastrotheca cuencana;Fusarium proliferatum
Azuay;Guangarcucho;Gastrotheca cuencana;Fusarium solani
Azuay;Guangarcucho;Ctenophryne aequatorialis;Aspergillus niger
Azuay;Guangarcucho;Ctenophryne aequatorialis;Syncephalastrum sp.
Azuay;Lazareto;Gastrotheca cuencana;Bipolaris sp.
Azuay;Lazareto;Hyloxalus vertebralis;Hortaea werneckii
Azuay;Chanlud;Pristimantis lutzae;Hortaea werneckii
Azuay;Quimsacocha;Gastrotheca pseustes;Fusarium concentricum
Azuay;Quimsacocha;Gastrotheca pseustes;Hortaea werneckii
Morona Santiago;Wapú;Pristimantis conspicillatus;Hortaea werneckii
Morona Santiago;Wapú;Pristimantis conspicillatus;Syncephalastrum sp.
Morona Santiago;Wapú;Pristimantis conspicillatus;Syncephalastrum sp.
Morona Santiago;Wapú;Pristimantis conspicillatus;Hortaea werneckii
Morona Santiago;Wapú;Pristimantis conspicillatus;Fusarium solani
Morona Santiago;Wapú;Pristimantis conspicillatus;Syncephalastrum sp.
Morona Santiago;Wapú;Chiasmocleis bassleri;Fusarium proliferatum
Morona Santiago;Wapú;Chiasmocleis bassleri;Hortaea werneckii
Morona Santiago;Wapú;Chiasmocleis bassleri;Bipolaris sp.
Morona Santiago;Wapú;Scinax cruentommus;Bipolaris sp.
Morona Santiago;Wapú;Pristimantis conspicillatus;Aspergillus niger
Morona Santiago;Wapú;Pristimantis conspicillatus;Hortaea werneckii
Morona Santiago;Wapú;Dendropsophus bifurcus;Fusarium proliferatum
Morona Santiago;Wapú;Dendropsophus bifurcus;Fusarium solani
Loja;Parque colinar Pucará;Lithobates catesbeianus;Hortaea werneckii
Loja;Parque colinar Pucará;Lithobates catesbeianus;Syncephalastrum sp.
Loja;Parque colinar Pucará;Lithobates catesbeianus;"Fusarium oxysporum 
"
Loja;Parque colinar Pucará;Lithobates catesbeianus;Fusarium solani
Loja;Abra del Zamora;Pristimantis versicolor;Fusarium sp.
Loja;Abra del Zamora;Pristimantis versicolor;Syncephalastrum sp.
Loja;Abra del Zamora;Pristimantis versicolor;Aspergillus niger
Zamora;Cerca al límite provincial;Pristimantis andinognomus;Fusarium concentricum
Zamora;Criadero - Piuntza;Lithobates catesbeianus;Fusarium solani
Zamora;Padmi - UNL;Adenomera hylaedactyla;Fusarium solani
Zamora;Padmi - UNL;Adenomera hylaedactyla;Fusarium proliferatum
Zamora;Padmi - UNL;Pristimantis diadematus;Syncephalastrum sp.
Zamora;Padmi - UNL;Pristimantis diadematus;Fusarium oxysporum
Zamora;Padmi - UNL;Pristimantis diadematus;Fusarium solani
Zamora;Padmi - UNL;Pristimantis conspicillatus;Fusarium proliferatum
Cañar;Laguna de Guabizhun;Hyloxalus vertebralis;Fusarium concentricum
Zamora;Padmi - UNL;Pristimantis conspicillatus;Hortaea werneckii
Cañar;Laguna de Guabizhun;Hyloxalus vertebralis;Fusarium proliferatum
